! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
55242.0119587091	0.000578703703703704	-0.000578703703703704	2.678397e+01	1.424149e+01	-1.051879e+01
55287.0026978922	0.000578703703703704	-0.000578703703703704	3.034992e+01	3.734071e+00	-3.734071e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
55290.0028531199	0.000578703703703704	-0.000578703703703704	3.698873e+01	4.098053e+00	-4.098053e+00
58136.0015260903	0.000578703703703704	-0.000578703703703704	2.641255e+02	8.990054e+01	-7.339118e+01
58136.0026834977	0.000578703703703704	-0.000578703703703704	1.351745e+02	8.068777e+00	-8.068777e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
56363.0027830498	0.000578703703703704	-0.000578703703703704	2.653044e+01	3.307412e+00	-3.307412e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
58572.0068067303	0.000578703703703704	-0.000578703703703704	6.598222e+01	5.287088e+00	-5.287088e+00
############################################################
#/ PC data$/,/ $/ ##############
############################################################
