! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
53680.1195888458	0.000578703703703704	-0.000578703703703704	3.676483e+01	2.882033e+00	-2.882033e+00
53680.1207462532	0.000578703703703704	-0.000578703703703704	4.214859e+01	3.086831e+00	-3.086831e+00
53680.1219036606	0.000578703703703704	-0.000578703703703704	5.090354e+01	3.392135e+00	-3.392135e+00
53680.1230610681	0.000578703703703704	-0.000578703703703704	3.861355e+01	2.954139e+00	-2.954139e+00
53680.1242184755	0.000578703703703704	-0.000578703703703704	3.869090e+01	2.955294e+00	-2.955294e+00
53680.1253758829	0.000578703703703704	-0.000578703703703704	4.000939e+01	3.004399e+00	-3.004399e+00
53680.1265332903	0.000578703703703704	-0.000578703703703704	4.354620e+01	3.133764e+00	-3.133764e+00
53680.1276906977	0.000578703703703704	-0.000578703703703704	4.253013e+01	3.095856e+00	-3.095856e+00
53680.1288481051	0.000578703703703704	-0.000578703703703704	3.762979e+01	2.920676e+00	-2.920676e+00
53680.1300055125	0.000578703703703704	-0.000578703703703704	3.942545e+01	2.983648e+00	-2.983648e+00
53680.1311629199	0.000578703703703704	-0.000578703703703704	3.953785e+01	2.986570e+00	-2.986570e+00
53680.1323203273	0.000578703703703704	-0.000578703703703704	5.081143e+01	6.108424e+00	-6.108424e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
53461.7840556006	0.000578703703703704	-0.000578703703703704	1.238668e+01	5.056397e+00	-3.982444e+00
53461.785213008	0.000578703703703704	-0.000578703703703704	7.433555e+00	1.805716e+00	-1.805716e+00
53461.7863704154	0.000578703703703704	-0.000578703703703704	5.209316e+00	1.680820e+00	-1.383896e+00
53461.8500278228	0.000578703703703704	-0.000578703703703704	2.204102e+01	3.646166e+00	-3.646166e+00
53461.8511852302	0.000578703703703704	-0.000578703703703704	2.329966e+01	3.131069e+00	-3.131069e+00
53461.8523426376	0.000578703703703704	-0.000578703703703704	1.902990e+01	2.990253e+00	-2.990253e+00
53461.8535000451	0.000578703703703704	-0.000578703703703704	7.949104e+00	7.380743e+00	-4.515091e+00
56338.0026811053	0.000578703703703704	-0.000578703703703704	1.476354e+01	2.918599e+00	-2.918599e+00
56777.0026610706	0.000578703703703704	-0.000578703703703704	4.701140e+01	5.110940e+00	-5.110940e+00
57053.0026475	0.000578703703703704	-0.000578703703703704	3.030985e+01	4.261351e+00	-4.261351e+00
57092.0061177465	0.000578703703703704	-0.000578703703703704	5.527813e+01	6.039644e+00	-6.039644e+00
57391.9702108137	0.000578703703703704	-0.000578703703703704	5.364063e+01	5.905450e+00	-5.905450e+00
57391.9713682211	0.000578703703703704	-0.000578703703703704	5.304993e+01	3.768944e+00	-3.768944e+00
57391.9725256285	0.000578703703703704	-0.000578703703703704	6.163826e+01	4.038026e+00	-4.038026e+00
57391.9736830359	0.000578703703703704	-0.000578703703703704	5.839960e+01	3.951400e+00	-3.951400e+00
57391.9748404433	0.000578703703703704	-0.000578703703703704	4.843845e+01	3.600318e+00	-3.600318e+00
57391.9759978507	0.000578703703703704	-0.000578703703703704	5.148739e+01	3.698955e+00	-3.698955e+00
57391.9771552581	0.000578703703703704	-0.000578703703703704	6.290524e+01	4.092023e+00	-4.092023e+00
57391.9783126655	0.000578703703703704	-0.000578703703703704	6.644642e+01	6.142552e+00	-6.142552e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
58415.0026504259	0.000578703703703704	-0.000578703703703704	2.296077e+01	3.118382e+00	-3.118382e+00
#! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
57405.4490096852	0.000578703703703704	-0.000578703703703704	3.368165e+01	3.406357e+00	-3.406357e+00
57405.4501670926	0.000578703703703704	-0.000578703703703704	3.433017e+01	3.442986e+00	-3.442986e+00
57405.4513245	0.000578703703703704	-0.000578703703703704	3.260869e+01	3.354671e+00	-3.354671e+00
57405.4524819074	0.000578703703703704	-0.000578703703703704	3.321147e+01	3.378878e+00	-3.378878e+00
57405.4536393148	0.000578703703703704	-0.000578703703703704	3.292385e+01	3.364858e+00	-3.364858e+00
57405.4547967222	0.000578703703703704	-0.000578703703703704	3.420818e+01	3.431297e+00	-3.431297e+00
57405.4559541296	0.000578703703703704	-0.000578703703703704	3.295010e+01	3.372558e+00	-3.372558e+00
57405.457111537	0.000578703703703704	-0.000578703703703704	3.195473e+01	3.319906e+00	-3.319906e+00
57405.4582689444	0.000578703703703704	-0.000578703703703704	3.293311e+01	3.368589e+00	-3.368589e+00
57405.4594263519	0.000578703703703704	-0.000578703703703704	3.047057e+01	3.227702e+00	-3.227702e+00
57405.4605837593	0.000578703703703704	-0.000578703703703704	3.342747e+01	7.992723e+00	-7.992723e+00
57412.9119722697	0.000578703703703704	-0.000578703703703704	1.566710e+01	1.587368e+00	-1.587368e+00
57412.9131296771	0.000578703703703704	-0.000578703703703704	1.984491e+01	1.552831e+00	-1.552831e+00
57412.9142870845	0.000578703703703704	-0.000578703703703704	1.843134e+01	1.497822e+00	-1.497822e+00
57412.9154444919	0.000578703703703704	-0.000578703703703704	1.340928e+01	1.278130e+00	-1.278130e+00
57412.9166018993	0.000578703703703704	-0.000578703703703704	1.806733e+01	1.484731e+00	-1.484731e+00
57412.9177593067	0.000578703703703704	-0.000578703703703704	1.797142e+01	1.478395e+00	-1.478395e+00
57412.9189167141	0.000578703703703704	-0.000578703703703704	1.676189e+01	3.306260e+00	-3.306260e+00
57737.0022320127	0.000578703703703704	-0.000578703703703704	6.512042e+00	2.213051e+00	-1.807735e+00
57737.0033894201	0.000578703703703704	-0.000578703703703704	8.737990e+00	5.314837e+00	-3.781159e+00
57840.0022145139	0.000578703703703704	-0.000578703703703704	1.330618e+01	2.603722e+00	-2.603722e+00
57840.0033719213	0.000578703703703704	-0.000578703703703704	1.669430e+01	6.342481e+00	-5.067978e+00
#! PC data
