"scanned","power"
10.2307692307692,0.250453571521744
10.5,0.55445564425508
10.7837837837838,1.75327637123542
11.0833333333333,1.01054714359042
11.4,0.189152206506791
11.7352941176471,1.34787276236247
12.0909090909091,0.28443594664268
12.46875,0.0105937679682948
12.8709677419355,0.0578108940098326
13.3,0.180626721598837
13.7586206896552,0.679086957597793
14.25,0.579609134938631
14.7777777777778,0.181971721902263
15.3461538461538,0.196735525487956
15.96,0.122404844129371
16.625,1.1039347024117
17.3478260869565,1.84691537406138
18.1363636363636,2.72538870777196
19,0.366397601985221
19.95,0.644648340322996
21,0.228835090180826
22.1666666666667,1.32504481382373
23.4705882352941,1.49560000178216
24.9375,1.55350974571816
26.6,0.586226125657987
28.5,1.10282031429562
30.6923076923077,0.618208202500757
33.25,1.60124439530791
36.2727272727273,0.903705650819518
39.9,2.386458616409
44.3333333333333,8.17517294450066
49.875,11.3602888022415
57,15.0446271654722
66.5,19.8523854358814
79.8,11.1218861153602
99.75,12.187647494693
133,32.3480376676326
199.5,21.9424681697938
399,24.9036806954231
