"scanned","power"
10.2307692307692,0.00181642263184156
10.5,0.0210188830681651
10.7837837837838,0.120703127604132
11.0833333333333,0.00842874127099489
11.4,0.0912699182352052
11.7352941176471,0.0242311323041942
12.0909090909091,0.171868195233631
12.46875,0.398926506329431
12.8709677419355,0.471854265223313
13.3,1.23114182010537
13.7586206896552,0.197169171655595
14.25,0.40914044378618
14.7777777777778,0.224763681438457
15.3461538461538,0.437319836363854
15.96,0.588609144509354
16.625,1.05492266635389
17.3478260869565,0.890137408633709
18.1363636363636,2.00634636714024
19,0.83168493907609
19.95,0.33750085639719
21,0.97769614376458
22.1666666666667,3.36761526991412
23.4705882352941,6.8342699014674
24.9375,2.58759014597143
26.6,5.77363659854118
28.5,4.34709079302025
30.6923076923077,2.81528193943788
33.25,9.08293857326259
36.2727272727273,3.89778005177488
39.9,0.0672058526335064
44.3333333333333,0.367619574243553
49.875,2.25416726108121
57,0.193864974362709
66.5,12.0126005906087
79.8,4.24436946953643
99.75,5.92034417749666
133,12.9918970872934
199.5,50.6829034664683
399,56.9815887776297
