#mjd,i	flux,	err
45842.1	13.8	1.38
46032	13.5	1.35
46038	13.2	1.32
46083	13.9	1.39
46093	13.5	1.35
46149.9	12.6	1.26
46150.9	12.8	1.28
46162.9	12.6	1.26
46165.3	13.0	1.3
46166.9	12.7	1.27
46168.9	12.8	1.28
46177.9	13.7	1.37
46193.2	13.6	1.36
46197.9	13.3	1.33
46199.3	13.3	1.33
46203.2	13.7	1.37
46207.2	13.6	1.36
46209.9	13.5	1.35
46241	13.0	1.3
46250.9	13.5	1.35
46387	13.7	1.37
46387.6	13.3	1.33
46417.5	12.8	1.28
46437.5	13.0	1.3
46495.2	13.8	1.38
46508.4	13.5	1.35
46530.1	14.2	1.42
46531.1	14.0	1.4
46531.2	13.5	1.35
46532.1	13.9	1.39
46548.2	13.4	1.34
46552.2	14.1	1.41
46553.9	13.3	1.33
46554.1	14.1	1.41
46557.1	14.4	1.44
46561.9	13.2	1.32
46563.9	13.0	1.3
46576.2	13.5	1.35
46576.9	13.0	1.3
46590.2	12.5	1.25
46619.2	13.0	1.3
46790.4	13.0	1.3
46847.9	13.5	1.35
46903.2	13.8	1.38
46939.3	13.3	1.33
46946.2	13.5	1.35
46946.3	13.4	1.34
46969.9	13.4	1.34
47067.5	13.0	1.3
47216.3	12.8	1.28
47232.1	13.7	1.37
47237.9	13.4	1.34
47238.3	13.4	1.34
47238.9	13.5	1.35
47262.3	13.2	1.32
47262.9	13.1	1.31
47268.9	13.2	1.32
47271.9	12.9	1.29
47292.2	13.6	1.36
47312.9	13.5	1.35
47314.9	13.4	1.34
47315.9	13.3	1.33
47316.9	13.3	1.33
47324.2	12.4	1.24
47326.9	13.5	1.35
47530.1	13.3	1.33
47557	13.8	1.38
47558	13.9	1.39
47560.9	13.7	1.37
47565.9	13.6	1.36
47566.9	13.5	1.35
47568	13.5	1.35
47584.9	13.5	1.35
47586.9	13.4	1.34
47587.9	13.4	1.34
47589.9	13.5	1.35
47590.9	13.6	1.36
47611.9	13.4	1.34
47612.9	13.4	1.34
47613.9	13.2	1.32
47614.9	13.3	1.33
47615.9	13.2	1.32
47652.9	13.5	1.35
47654.9	13.6	1.36
47683.9	13.2	1.32
47685.9	13.2	1.32
47913.7	13.3	1.33
47925.4	12.5	1.25
47927.9	12.8	1.28
47932.9	13.4	1.34
47936.9	13.5	1.35
47942.9	12.9	1.29
47945.8	12.6	1.26
47947	13.0	1.3
47947.9	13.0	1.3
47950.9	13.0	1.3
47952.9	13.4	1.34
47953.8	13.0	1.3
47963.8	12.9	1.29
47966.9	13.5	1.35
47967.8	12.9	1.29
47967.8	12.9	1.29
47969.9	13.4	1.34
47969.9	13.5	1.35
47971.9	13.1	1.31
47973.9	13.1	1.31
47981.3	13.0	1.3
47982.8	11.8	1.18
47982.9	13.0	1.3
47986.9	13.2	1.32
47990.9	12.9	1.29
47992.9	13.3	1.33
47995.9	13.5	1.35
48000.2	13.4	1.34
48004.9	13.4	1.34
48008.2	13.4	1.34
48008.9	13.4	1.34
48009.9	13.3	1.33
48010.9	13.0	1.3
48012	13.0	1.3
48015.9	12.9	1.29
48017.9	13.5	1.35
48019.2	13.4	1.34
48028.9	13.0	1.3
48029.9	13.0	1.3
48031.9	12.9	1.29
48034.9	13.0	1.3
48036.9	13.1	1.31
48037	11.7	1.17
48037.9	12.8	1.28
48038.9	13.0	1.3
48040.9	13.0	1.3
48041.2	13.3	1.33
48052.1	13.2	1.32
48057.2	13.4	1.34
48059.9	12.8	1.28
48066.9	13.2	1.32
48068.9	11.8	1.18
48193.4	13.4	1.34
48211.5	12.5	1.25
48230.4	13.0	1.3
48234.3	13.0	1.3
48235.4	13.4	1.34
48327.9	13.8	1.38
48329.2	13.4	1.34
48351.3	13.2	1.32
48351.8	12.9	1.29
48352.3	13.1	1.31
48355.3	13.3	1.33
48356.2	13.0	1.3
48357.1	13.3	1.33
48357.3	13.2	1.32
48358.2	12.8	1.28
48359.2	12.5	1.25
48360.2	12.7	1.27
48361.2	12.5	1.25
48362.2	12.7	1.27
48363.2	12.7	1.27
48364.2	12.9	1.29
48365.3	13.5	1.35
48377.1	13.3	1.33
48379.2	13.3	1.33
48380.2	13.3	1.33
48380.9	13.1	1.31
48381.2	13.3	1.33
48384.2	13.2	1.32
48385.3	13.0	1.3
48386.3	13.1	1.31
48387.2	13.0	1.3
48388.2	13.3	1.33
48389.2	13.0	1.3
48391.2	13.0	1.3
48392.3	13.3	1.33
48393.2	13.1	1.31
48399.2	13.3	1.33
48401.2	13.1	1.31
48402.2	13.1	1.31
48403.2	13.0	1.3
48408.2	13.0	1.3
48409.2	13.0	1.3
48410.2	13.0	1.3
48411.2	12.9	1.29
48413.2	13.1	1.31
48414.2	13.1	1.31
48414.9	13.4	1.34
48415.2	13.1	1.31
48415.9	13.4	1.34
48416.2	13.0	1.3
48417.2	13.2	1.32
48418.2	13.3	1.33
48418.2	13.2	1.32
48418.9	13.0	1.3
48422.2	12.9	1.29
48423.2	13.0	1.3
48424.8	12.7	1.27
48424.9	13.0	1.3
48425.9	13.0	1.3
48428.2	13.1	1.31
48428.9	13.0	1.3
48436.9	13.0	1.3
48439.2	13.0	1.3
48440.2	13.1	1.31
48442.2	13.0	1.3
48442.9	13.0	1.3
48443.2	13.0	1.3
48443.9	13.0	1.3
48444.2	13.1	1.31
48444.9	13.0	1.3
48446.2	13.0	1.3
48446.9	13.0	1.3
48447.2	13.1	1.31
48447.9	13.0	1.3
48448.2	13.1	1.31
48449.2	13.1	1.31
48450.2	13.1	1.31
48451.2	13.1	1.31
48452.2	13.1	1.31
48452.9	13.0	1.3
48453.2	13.1	1.31
48455.9	13.0	1.3
48463.2	13.2	1.32
48599.5	12.5	1.25
48626.5	13.1	1.31
48663.1	12.5	1.25
48676.9	12.7	1.27
48678.3	12.0	1.2
48679.2	12.7	1.27
48680.1	12.7	1.27
48681.2	12.5	1.25
48702.1	12.8	1.28
48704.3	12.5	1.25
48706.2	12.5	1.25
48715.1	12.5	1.25
48716.2	12.5	1.25
48718.2	12.5	1.25
48719.2	12.5	1.25
48722.2	12.5	1.25
48733.2	12.8	1.28
48734.2	12.6	1.26
48735.2	12.7	1.27
48739.2	12.7	1.27
48739.2	12.0	1.2
48740.2	12.7	1.27
48747.2	12.5	1.25
48751.9	12.5	1.25
48752.9	12.5	1.25
48759.2	12.6	1.26
48769.2	12.8	1.28
48773.2	12.7	1.27
48775.2	12.7	1.27
48776.2	12.7	1.27
48778.2	12.7	1.27
48788.2	12.5	1.25
48789.2	12.5	1.25
48790.2	12.5	1.25
48795.2	12.7	1.27
48796.2	12.7	1.27
48798.2	13.0	1.3
48800.2	12.9	1.29
48801.2	12.8	1.28
48802.2	13.0	1.3
48803.2	12.9	1.29
48804.2	13.0	1.3
48805.2	12.9	1.29
48806.2	12.8	1.28
48807.2	12.8	1.28
48809.2	12.7	1.27
48810.2	12.7	1.27
48823.2	12.6	1.26
48830.2	12.7	1.27
48831.2	12.6	1.26
48832.2	12.7	1.27
48837.2	12.7	1.27
48946.4	12.7	1.27
48949.3	12.9	1.29
48953.3	12.9	1.29
48961.5	12.8	1.28
48976.4	13.0	1.3
48982.4	12.8	1.28
49000.9	13.1	1.31
49004.4	12.8	1.28
49004.9	13.1	1.31
49005.5	12.3	1.23
49006.9	12.8	1.28
49009.3	12.7	1.27
49009.9	12.8	1.28
49010.2	12.7	1.27
49011.2	12.7	1.27
49012.3	12.7	1.27
49012.9	12.8	1.28
49013.2	12.7	1.27
49014.2	12.7	1.27
49015.1	12.7	1.27
49016.8	12.8	1.28
49017.4	12.6	1.26
49020.2	12.7	1.27
49030.3	12.7	1.27
49031.1	12.7	1.27
49032.2	12.7	1.27
49032.4	12.9	1.29
49033.1	13.0	1.3
49034	13.1	1.31
49034.8	12.7	1.27
49034.8	12.8	1.28
49036	13.3	1.33
49036.1	12.9	1.29
49037	12.8	1.28
49037.9	12.8	1.28
49040.1	13.0	1.3
49040.5	13.4	1.34
49041	13.3	1.33
49041.2	13.4	1.34
49041.9	13.2	1.32
49042	13.7	1.37
49042.1	13.5	1.35
49042.9	13.1	1.31
49043.1	13.0	1.3
49044.1	13.2	1.32
49045.1	13.8	1.38
49045.3	13.2	1.32
49045.9	13.4	1.34
49046	13.6	1.36
49048	13.9	1.39
49049.2	13.5	1.35
49050.1	13.3	1.33
49051.2	13.3	1.33
49052.1	13.2	1.32
49054.9	13.4	1.34
49055.1	13.3	1.33
49055.8	13.4	1.34
49055.9	13.4	1.34
49056.1	13.5	1.35
49057.8	13.4	1.34
49057.9	13.5	1.35
49058.2	13.3	1.33
49058.8	13.3	1.33
49058.9	13.0	1.3
49060.1	13.1	1.31
49060.4	12.9	1.29
49060.8	13.5	1.35
49061.9	13.3	1.33
49061.9	12.8	1.28
49061.9	13.2	1.32
49062	13.2	1.32
49062.1	13.1	1.31
49063.1	13.0	1.3
49064.8	13.5	1.35
49065.1	13.1	1.31
49065.9	13.6	1.36
49065.9	13.2	1.32
49066.1	13.1	1.31
49066.9	13.3	1.33
49066.9	13.2	1.32
49067.3	13.2	1.32
49067.9	13.3	1.33
49068.2	13.0	1.3
49068.9	13.2	1.32
49069.2	13.0	1.3
49069.9	13.3	1.33
49069.9	13.1	1.31
49070.2	13.0	1.3
49070.9	13.2	1.32
49071	13.0	1.3
49071.2	13.0	1.3
49072.2	13.0	1.3
49073	13.4	1.34
49073.3	13.2	1.32
49075.1	13.1	1.31
49075.2	13.0	1.3
49077.2	13.0	1.3
49077.3	13.0	1.3
49078.2	13.0	1.3
49081.3	13.0	1.3
49085.1	13.3	1.33
49086.3	13.0	1.3
49086.8	13.0	1.3
49087.3	13.0	1.3
49087.8	13.7	1.37
49087.9	13.2	1.32
49088.3	13.1	1.31
49089	13.3	1.33
49089.2	13.0	1.3
49089.3	13.5	1.35
49089.8	13.2	1.32
49091.2	13.0	1.3
49092.8	13.0	1.3
49093.3	13.0	1.3
49093.8	12.8	1.28
49094.2	13.3	1.33
49094.3	12.9	1.29
49094.9	13.2	1.32
49095.3	13.2	1.32
49097.3	13.1	1.31
49098.2	13.3	1.33
49098.5	13.1	1.31
49098.9	13.1	1.31
49099	13.4	1.34
49099.3	13.3	1.33
49099.3	13.0	1.3
49100.1	13.4	1.34
49101	13.3	1.33
49101.3	13.4	1.34
49101.9	12.8	1.28
49101.9	13.0	1.3
49102.4	12.9	1.29
49102.9	12.9	1.29
49102.9	13.1	1.31
49103.3	13.1	1.31
49103.9	13.3	1.33
49104	12.9	1.29
49104	12.9	1.29
49104.5	13.0	1.3
49105.9	13.3	1.33
49106.1	12.9	1.29
49106.3	13.0	1.3
49107.1	13.2	1.32
49107.3	13.0	1.3
49109.9	13.3	1.33
49110.9	13.3	1.33
49111.3	12.8	1.28
49111.9	13.0	1.3
49112.9	12.9	1.29
49114	12.9	1.29
49114.9	13.0	1.3
49115.1	13.3	1.33
49116.1	13.3	1.33
49116.2	13.3	1.33
49117.3	12.9	1.29
49117.3	13.0	1.3
49117.9	12.8	1.28
49118	12.9	1.29
49118.1	13.0	1.3
49118.3	13.0	1.3
49118.9	13.1	1.31
49119.2	13.4	1.34
49119.3	12.9	1.29
49120.3	12.9	1.29
49121.3	13.3	1.33
49121.4	12.9	1.29
49121.9	12.9	1.29
49122	12.9	1.29
49122.1	13.1	1.31
49122.3	12.8	1.28
49122.9	12.8	1.28
49122.9	13.2	1.32
49123	12.9	1.29
49123.9	12.9	1.29
49123.9	13.1	1.31
49124.3	12.8	1.28
49124.4	12.8	1.28
49125.2	12.7	1.27
49126.2	12.9	1.29
49126.3	12.9	1.29
49126.8	12.8	1.28
49126.8	11.5	1.15
49126.9	13.1	1.31
49127.2	12.7	1.27
49127.3	12.9	1.29
49127.8	11.3	1.13
49128.9	12.9	1.29
49129.4	12.9	1.29
49129.8	13.3	1.33
49129.9	13.1	1.31
49129.9	12.9	1.29
49130.1	13.2	1.32
49130.3	12.9	1.29
49130.9	12.9	1.29
49131.3	12.9	1.29
49132	12.8	1.28
49134.1	13.1	1.31
49134.1	12.5	1.25
49135.9	13.3	1.33
49137.1	13.1	1.31
49137.3	12.9	1.29
49138	13.0	1.3
49138.3	12.9	1.29
49138.8	13.1	1.31
49139.9	13.1	1.31
49140.3	12.9	1.29
49141.3	12.9	1.29
49142.3	12.9	1.29
49142.9	13.1	1.31
49143.9	13.1	1.31
49144.9	12.9	1.29
49145.9	13.0	1.3
49146.3	12.9	1.29
49147.3	12.8	1.28
49147.8	12.9	1.29
49149.3	12.8	1.28
49149.8	12.0	1.2
49150.3	12.8	1.28
49151.2	12.5	1.25
49151.3	12.6	1.26
49152.1	13.1	1.31
49152.3	12.7	1.27
49153.8	13.1	1.31
49155.9	13.0	1.3
49156.1	13.1	1.31
49157.2	12.8	1.28
49157.8	13.1	1.31
49158.8	13.0	1.3
49158.8	13.2	1.32
49159	13.1	1.31
49160	13.1	1.31
49160.2	12.8	1.28
49160.8	13.1	1.31
49161.2	12.8	1.28
49161.9	12.9	1.29
49161.9	13.2	1.32
49162.2	12.8	1.28
49163	13.1	1.31
49163.2	12.8	1.28
49164.2	12.8	1.28
49164.8	13.3	1.33
49165.3	12.8	1.28
49165.9	12.9	1.29
49166.2	12.8	1.28
49166.9	13.0	1.3
49167.2	12.8	1.28
49168.2	12.9	1.29
49169.2	12.8	1.28
49170.2	12.8	1.28
49171.9	13.1	1.31
49173.9	13.1	1.31
49174.2	12.8	1.28
49175.2	12.8	1.28
49176.2	12.7	1.27
49177.2	12.7	1.27
49177.9	13.1	1.31
49178.2	12.7	1.27
49179.2	12.7	1.27
49181.2	12.7	1.27
49186.2	12.6	1.26
49187.2	12.5	1.25
49190.2	12.7	1.27
49191.2	12.7	1.27
49192.2	12.6	1.26
49193.2	12.7	1.27
49194.2	12.7	1.27
49195.2	12.7	1.27
49196.2	12.7	1.27
49206.2	12.7	1.27
49211.1	12.7	1.27
49303.1	13.1	1.31
49306.1	13.1	1.31
49328.3	13.2	1.32
49330.2	13.4	1.34
49331.2	13.0	1.3
49331.2	13.4	1.34
49332.3	13.4	1.34
49335	13.1	1.31
49335.3	13.1	1.31
49336.3	13.1	1.31
49339.2	13.1	1.31
49340.3	13.1	1.31
49342.3	13.1	1.31
49342.4	12.7	1.27
49343.2	13.1	1.31
49344	13.2	1.32
49347.3	12.7	1.27
49353.1	13.0	1.3
49354.9	13.0	1.3
49355.2	12.9	1.29
49356.2	12.9	1.29
49361.2	12.9	1.29
49363.2	13.0	1.3
49364.2	13.0	1.3
49366.2	12.9	1.29
49366.9	12.9	1.29
49367.1	13.0	1.3
49367.3	13.1	1.31
49368.9	13.4	1.34
49371.1	12.9	1.29
49372.2	13.1	1.31
49374.1	12.9	1.29
49374.3	12.7	1.27
49384.1	12.8	1.28
49384.9	13.0	1.3
49385.1	12.8	1.28
49386.2	12.8	1.28
49388.9	13.1	1.31
49389	13.1	1.31
49389.2	13.0	1.3
49391.3	13.1	1.31
49391.9	13.2	1.32
49393.1	12.9	1.29
49394.1	12.9	1.29
49394.2	12.8	1.28
49395.4	13.1	1.31
49395.9	13.1	1.31
49397.3	12.6	1.26
49397.9	13.2	1.32
49398.1	13.0	1.3
49398.5	13.3	1.33
49399.1	12.9	1.29
49399.9	13.1	1.31
49400.1	13.2	1.32
49400.8	13.1	1.31
49402.1	13.3	1.33
49403.9	13.1	1.31
49408.1	12.9	1.29
49411.1	13.2	1.32
49412.1	13.4	1.34
49413.1	13.6	1.36
49413.2	13.4	1.34
49413.8	13.2	1.32
49413.9	13.6	1.36
49414.1	13.3	1.33
49414.3	12.9	1.29
49414.9	13.2	1.32
49414.9	13.7	1.37
49414.9	13.2	1.32
49415.3	13.2	1.32
49415.9	13.4	1.34
49416	13.1	1.31
49416.2	13.2	1.32
49417.1	13.2	1.32
49417.9	13.3	1.33
49418.1	13.2	1.32
49420.9	13.1	1.31
49421.3	13.4	1.34
49421.8	13.3	1.33
49421.8	13.3	1.33
49421.9	13.5	1.35
49421.9	13.2	1.32
49422.2	13.1	1.31
49422.9	13.4	1.34
49424.2	13.1	1.31
49425.1	13.1	1.31
49426	13.3	1.33
49426.2	13.1	1.31
49426.9	13.1	1.31
49426.9	13.3	1.33
49427	13.3	1.33
49427.8	13.3	1.33
49428	13.3	1.33
49428.2	13.0	1.3
49428.9	13.4	1.34
49429.2	13.3	1.33
49430	13.4	1.34
49430.3	13.5	1.35
49430.8	13.6	1.36
49430.9	13.4	1.34
49431.9	13.4	1.34
49432.1	13.5	1.35
49433.2	13.1	1.31
49434.1	13.4	1.34
49434.1	13.1	1.31
49440.1	13.1	1.31
49440.8	13.2	1.32
49441.1	13.7	1.37
49442.8	13.5	1.35
49443.2	13.1	1.31
49443.3	13.3	1.33
49443.3	13.4	1.34
49443.9	13.2	1.32
49444.2	13.1	1.31
49444.3	13.4	1.34
49444.9	13.1	1.31
49444.9	13.4	1.34
49445.2	13.1	1.31
49446.9	13.3	1.33
49448.8	13.1	1.31
49448.9	13.5	1.35
49450.2	13.1	1.31
49450.9	13.3	1.33
49451.2	13.0	1.3
49451.8	13.4	1.34
49451.9	13.3	1.33
49452.9	13.4	1.34
49452.9	13.6	1.36
49455.2	13.1	1.31
49455.9	13.1	1.31
49455.9	13.7	1.37
49456.1	13.1	1.31
49456.2	13.2	1.32
49456.9	13.3	1.33
49456.9	13.4	1.34
49457.1	13.5	1.35
49457.2	13.1	1.31
49457.9	13.5	1.35
49457.9	13.1	1.31
49458.1	13.1	1.31
49458.3	13.5	1.35
49458.3	13.3	1.33
49458.9	13.2	1.32
49459.2	13.0	1.3
49459.9	13.2	1.32
49460.2	13.2	1.32
49460.9	13.2	1.32
49460.9	13.4	1.34
49461.1	13.3	1.33
49467	13.2	1.32
49470.9	13.0	1.3
49470.9	13.3	1.33
49471	13.2	1.32
49471	13.3	1.33
49471.9	13.3	1.33
49471.9	13.1	1.31
49471.9	13.1	1.31
49471.9	13.3	1.33
49472.9	13.3	1.33
49472.9	13.0	1.3
49472.9	13.3	1.33
49473	13.3	1.33
49473.9	13.1	1.31
49473.9	13.4	1.34
49474.9	13.2	1.32
49474.9	13.3	1.33
49475.2	13.3	1.33
49475.9	13.2	1.32
49476.2	13.3	1.33
49476.9	13.4	1.34
49477	13.3	1.33
49477.2	13.3	1.33
49477.2	13.4	1.34
49479.2	13.3	1.33
49479.3	13.3	1.33
49481	13.3	1.33
49481.2	13.2	1.32
49481.3	13.5	1.35
49482.9	13.4	1.34
49483.1	13.4	1.34
49483.9	13.3	1.33
49483.9	13.3	1.33
49484.9	13.4	1.34
49485	13.3	1.33
49485.9	13.4	1.34
49487.2	13.4	1.34
49487.8	13.5	1.35
49487.9	13.4	1.34
49487.9	13.3	1.33
49488.2	13.4	1.34
49489.2	13.1	1.31
49489.9	13.4	1.34
49489.9	13.1	1.31
49490	13.2	1.32
49494	13.2	1.32
49495.9	13.3	1.33
49499.9	13.0	1.3
49500.2	12.9	1.29
49500.2	13.0	1.3
49501.2	13.0	1.3
49501.9	13.2	1.32
49501.9	13.3	1.33
49502.2	13.1	1.31
49502.2	12.9	1.29
49502.9	13.0	1.3
49502.9	13.1	1.31
49502.9	13.1	1.31
49503	13.7	1.37
49503.9	13.0	1.3
49503.9	13.0	1.3
49503.9	13.2	1.32
49504	13.7	1.37
49504.2	13.3	1.33
49505	13.3	1.33
49505.2	13.0	1.3
49506.1	13.3	1.33
49506.2	13.1	1.31
49506.8	13.6	1.36
49507.2	12.9	1.29
49507.2	13.1	1.31
49507.9	13.1	1.31
49508.2	13.5	1.35
49508.2	13.0	1.3
49508.9	13.2	1.32
49509	13.2	1.32
49509.2	13.0	1.3
49510.2	13.0	1.3
49510.8	13.8	1.38
49511	13.4	1.34
49511.2	13.0	1.3
49512.1	13.4	1.34
49512.2	13.0	1.3
49513.2	13.0	1.3
49513.9	13.2	1.32
49513.9	13.6	1.36
49514	13.3	1.33
49514.2	13.0	1.3
49514.9	13.3	1.33
49514.9	13.4	1.34
49515.2	13.0	1.3
49515.2	13.6	1.36
49516.8	13.7	1.37
49516.9	13.2	1.32
49517.2	13.0	1.3
49518	13.4	1.34
49518.2	13.0	1.3
49519.2	13.0	1.3
49520.2	13.0	1.3
49529.2	12.9	1.29
49530.2	12.9	1.29
49530.9	13.4	1.34
49532.2	12.9	1.29
49533.2	12.9	1.29
49533.9	13.2	1.32
49535.8	13.1	1.31
49536.2	12.9	1.29
49537.1	13.4	1.34
49537.2	12.9	1.29
49537.8	13.4	1.34
49538.2	12.9	1.29
49539.2	12.9	1.29
49540.2	12.8	1.28
49540.8	13.8	1.38
49541	13.0	1.3
49541.2	13.0	1.3
49541.8	13.7	1.37
49542.8	13.7	1.37
49543.2	13.0	1.3
49544	12.7	1.27
49544.2	12.9	1.29
49544.8	13.6	1.36
49544.9	13.1	1.31
49546	13.1	1.31
49546.2	13.0	1.3
49546.8	13.7	1.37
49547.2	12.9	1.29
49548.2	12.9	1.29
49549.2	12.9	1.29
49549.8	13.2	1.32
49558.8	13.1	1.31
49561.8	13.8	1.38
49562.8	13.8	1.38
49563.8	13.6	1.36
49564.8	13.2	1.32
49571.2	13.1	1.31
49572.2	13.1	1.31
49573.8	13.4	1.34
49574.8	13.6	1.36
49576.8	13.4	1.34
49578.8	13.8	1.38
49579.8	13.6	1.36
49580.8	13.4	1.34
49582.8	13.6	1.36
49590.1	13.1	1.31
49591.1	13.1	1.31
49591.8	13.4	1.34
49592.1	13.1	1.31
49592.8	13.2	1.32
49593.8	13.3	1.33
49594.8	13.3	1.33
49596.8	13.6	1.36
49636.2	13.5	1.35
49639.1	13.5	1.35
49660.2	13.2	1.32
49685	13.8	1.38
49687	13.4	1.34
49692.1	13.2	1.32
49694	13.2	1.32
49695	13.2	1.32
49700	13.1	1.31
49700.2	13.2	1.32
49706	13.1	1.31
49710	13.1	1.31
49718.1	13.1	1.31
49718.9	13.1	1.31
49720	13.1	1.31
49726.1	13.1	1.31
49728.9	13.1	1.31
49741	13.0	1.3
49742	13.4	1.34
49744	13.0	1.3
49745	13.2	1.32
49747	13.1	1.31
49747.9	13.0	1.3
49747.9	12.9	1.29
49748.1	13.0	1.3
49749	13.4	1.34
49750.1	13.1	1.31
49751.1	13.1	1.31
49752.1	13.0	1.3
49753.1	13.1	1.31
49754.1	13.1	1.31
49759.2	13.0	1.3
49761.9	13.2	1.32
49766	12.9	1.29
49766.1	12.9	1.29
49766.9	13.1	1.31
49767.1	12.9	1.29
49768	13.0	1.3
49768	13.6	1.36
49768.1	12.9	1.29
49768.9	13.1	1.31
49769.1	12.8	1.28
49769.9	13.3	1.33
49769.9	13.0	1.3
49769.9	12.5	1.25
49770.9	12.5	1.25
49772	13.5	1.35
49773.2	13.0	1.3
49773.3	13.0	1.3
49773.8	13.0	1.3
49773.9	13.1	1.31
49774.2	12.8	1.28
49774.8	13.2	1.32
49774.9	13.0	1.3
49774.9	13.2	1.32
49776	13.4	1.34
49776.1	13.0	1.3
49777.8	13.1	1.31
49777.9	13.1	1.31
49777.9	13.1	1.31
49778	13.4	1.34
49779.9	13.2	1.32
49779.9	13.0	1.3
49779.9	12.6	1.26
49779.9	13.2	1.32
49780.8	12.6	1.26
49780.8	13.2	1.32
49780.8	12.9	1.29
49780.9	13.8	1.38
49783.1	13.2	1.32
49783.1	13.1	1.31
49784.1	12.9	1.29
49784.8	13.0	1.3
49784.8	13.1	1.31
49785	13.6	1.36
49785.1	12.9	1.29
49786.1	13.1	1.31
49786.1	13.4	1.34
49786.1	13.0	1.3
49786.2	12.8	1.28
49787.1	13.2	1.32
49787.2	12.6	1.26
49787.3	13.2	1.32
49788	13.1	1.31
49788.8	13.2	1.32
49790.1	12.8	1.28
49790.8	13.2	1.32
49795	13.1	1.31
49795.9	13.1	1.31
49795.9	13.1	1.31
49796.2	12.9	1.29
49797.2	12.6	1.26
49797.9	13.0	1.3
49798	13.4	1.34
49798.9	13.0	1.3
49798.9	13.1	1.31
49799.1	12.9	1.29
49799.8	13.0	1.3
49799.9	13.0	1.3
49800.3	12.9	1.29
49800.3	13.0	1.3
49803.1	13.0	1.3
49803.2	12.9	1.29
49803.8	13.1	1.31
49803.9	13.1	1.31
49805	13.7	1.37
49805.4	13.1	1.31
49805.9	13.0	1.3
49805.9	13.0	1.3
49806.1	12.9	1.29
49806.8	13.1	1.31
49806.9	13.0	1.3
49807.1	12.9	1.29
49808.2	13.0	1.3
49809.2	13.0	1.3
49809.3	13.3	1.33
49809.4	13.0	1.3
49809.9	13.1	1.31
49809.9	13.0	1.3
49810.9	13.2	1.32
49811	13.1	1.31
49811	13.3	1.33
49811.2	13.0	1.3
49811.3	12.5	1.25
49811.8	12.8	1.28
49812.2	12.8	1.28
49813.2	12.8	1.28
49814	13.1	1.31
49814.2	13.0	1.3
49815	12.8	1.28
49815.1	13.3	1.33
49816	12.8	1.28
49816	13.1	1.31
49816	13.3	1.33
49816.9	12.8	1.28
49818.9	13.1	1.31
49818.9	12.8	1.28
49819.2	13.0	1.3
49819.9	13.1	1.31
49825.9	12.8	1.28
49826	13.1	1.31
49826.9	13.1	1.31
49826.9	13.2	1.32
49827	13.1	1.31
49827.9	13.1	1.31
49827.9	13.5	1.35
49827.9	12.8	1.28
49827.9	12.9	1.29
49829	13.5	1.35
49829.3	13.3	1.33
49829.9	12.8	1.28
49829.9	13.1	1.31
49830	13.3	1.33
49830	13.5	1.35
49830	13.4	1.34
49830.9	13.0	1.3
49831.9	12.8	1.28
49832.1	13.1	1.31
49832.9	13.0	1.3
49833.1	13.2	1.32
49833.9	13.0	1.3
49833.9	13.1	1.31
49834	13.1	1.31
49834.1	13.3	1.33
49835.2	13.4	1.34
49836	13.6	1.36
49836.2	13.3	1.33
49837	13.5	1.35
49837.2	13.3	1.33
49837.9	13.2	1.32
49838.3	13.2	1.32
49838.9	12.8	1.28
49838.9	13.5	1.35
49839.9	12.8	1.28
49839.9	13.2	1.32
49840	13.2	1.32
49840	13.3	1.33
49840.1	13.3	1.33
49840.2	13.2	1.32
49840.9	13.2	1.32
49840.9	13.3	1.33
49841	13.2	1.32
49841	13.3	1.33
49841.2	13.3	1.33
49841.9	13.2	1.32
49841.9	12.8	1.28
49841.9	13.3	1.33
49842.3	13.4	1.34
49842.9	13.2	1.32
49843	13.2	1.32
49843.9	12.8	1.28
49844	13.3	1.33
49845	13.1	1.31
49845.9	13.2	1.32
49846.2	13.2	1.32
49847.1	13.3	1.33
49847.2	13.1	1.31
49848.9	12.8	1.28
49851.9	13.0	1.3
49853	13.0	1.3
49853.9	13.1	1.31
49855.9	13.0	1.3
49855.9	13.3	1.33
49856.8	13.4	1.34
49857	13.2	1.32
49857	13.3	1.33
49857.1	13.0	1.3
49857.2	13.3	1.33
49857.2	13.4	1.34
49858	13.2	1.32
49858.2	13.3	1.33
49858.9	13.0	1.3
49858.9	13.3	1.33
49858.9	13.3	1.33
49859.2	13.2	1.32
49859.9	13.0	1.3
49860	13.2	1.32
49860.1	13.3	1.33
49860.9	13.3	1.33
49860.9	13.0	1.3
49861	13.3	1.33
49863	13.4	1.34
49864	13.4	1.34
49864.9	13.2	1.32
49864.9	13.3	1.33
49864.9	12.8	1.28
49865	13.5	1.35
49865.9	13.3	1.33
49867	13.2	1.32
49867	13.3	1.33
49867	13.1	1.31
49867.9	13.3	1.33
49868.2	13.2	1.32
49868.2	13.1	1.31
49869.2	13.1	1.31
49869.9	13.3	1.33
49870	13.4	1.34
49870.2	13.1	1.31
49871	13.4	1.34
49871.2	13.3	1.33
49871.2	13.3	1.33
49872	13.3	1.33
49873	13.3	1.33
49874.2	13.1	1.31
49875.2	13.0	1.3
49876	13.4	1.34
49876	13.3	1.33
49876.2	13.0	1.3
49877.9	13.3	1.33
49878.2	13.0	1.3
49879.2	13.0	1.3
