"scanned","power"
10.2307692307692,0.0599673522048401
10.5,0.141458998573357
10.7837837837838,0.495377939278484
11.0833333333333,0.538520514006732
11.4,0.116426906484298
11.7352941176471,0.0493518723135193
12.0909090909091,0.401092948296764
12.46875,0.59160173812664
12.8709677419355,0.1508164525633
13.3,0.914256596339959
13.7586206896552,2.00443096896693
14.25,1.51019080668875
14.7777777777778,1.01730576243611
15.3461538461538,0.919433760535431
15.96,1.40695810412529
16.625,2.00628956884883
17.3478260869565,0.751114857890789
18.1363636363636,0.167344931720869
19,0.201489132372383
19.95,0.331920762159015
21,1.02637701587402
22.1666666666667,0.715915992600518
23.4705882352941,0.0148964227395667
24.9375,0.237971800854191
26.6,0.726991987261446
28.5,2.51714901013533
30.6923076923077,8.41138045525536
33.25,14.0608292061546
36.2727272727273,0.154637741312716
39.9,9.32824413559729
44.3333333333333,16.6429612324204
49.875,10.3917283541698
57,13.3498384576369
66.5,7.85637510451059
79.8,0.379472708955662
99.75,0.305672484793359
133,19.3633226599802
199.5,19.9003939713635
399,46.7600552908572
